PID = 342, Lat = -33.96, Lng = 18.41, Alt = 1117.00, Dist = 122.03 km, RSSI = -114.25, SNR = -3.25, CBR = 7062.68 bps
PID = 343, Lat = -33.96, Lng = 18.41, Alt = 1117.00, Dist = 122.03 km, RSSI = -114.25, SNR = -4.25, CBR = 7062.68 bps
PID = 344, Lat = -33.96, Lng = 18.41, Alt = 1117.00, Dist = 122.03 km, RSSI = -114.50, SNR = -3.50, CBR = 7171.14 bps
PID = 345, Lat = -33.96, Lng = 18.41, Alt = 1117.00, Dist = 122.03 km, RSSI = -115.00, SNR = -4.00, CBR = 7153.93 bps
PID = 346, Lat = -33.96, Lng = 18.41, Alt = 1117.00, Dist = 122.03 km, RSSI = -114.50, SNR = -3.50, CBR = 7148.65 bps
PID = 347, Lat = -33.96, Lng = 18.41, Alt = 1117.00, Dist = 122.03 km, RSSI = -114.00, SNR = -3.00, CBR = 7173.79 bps
PID = 348, Lat = -33.96, Lng = 18.41, Alt = 1117.00, Dist = 122.03 km, RSSI = -114.25, SNR = -3.25, CBR = 7173.79 bps
PID = 349, Lat = -33.96, Lng = 18.41, Alt = 1117.00, Dist = 122.03 km, RSSI = -112.75, SNR = -2.75, CBR = 7066.54 bps
PID = 350, Lat = -33.96, Lng = 18.41, Alt = 1117.00, Dist = 122.03 km, RSSI = -114.50, SNR = -3.50, CBR = 7063.97 bps
PID = 351, Lat = -33.96, Lng = 18.41, Alt = 1117.00, Dist = 122.03 km, RSSI = -114.75, SNR = -3.75, CBR = 7173.79 bps
PID = 352, Lat = -33.96, Lng = 18.41, Alt = 1117.00, Dist = 122.03 km, RSSI = -113.75, SNR = -3.75, CBR = 7168.49 bps
PID = 353, Lat = -33.96, Lng = 18.41, Alt = 1117.00, Dist = 122.03 km, RSSI = -114.00, SNR = -3.00, CBR = 7165.83 bps
PID = 354, Lat = -33.96, Lng = 18.41, Alt = 1117.00, Dist = 122.03 km, RSSI = -115.00, SNR = -3.00, CBR = 7177.78 bps
PID = 355, Lat = -33.96, Lng = 18.41, Alt = 1117.00, Dist = 122.03 km, RSSI = -114.50, SNR = -3.50, CBR = 7176.45 bps
PID = 356, Lat = -33.96, Lng = 18.41, Alt = 1117.00, Dist = 122.03 km, RSSI = -113.25, SNR = -3.25, CBR = 7069.12 bps
PID = 357, Lat = -33.96, Lng = 18.41, Alt = 1117.00, Dist = 122.03 km, RSSI = -114.50, SNR = -3.50, CBR = 7067.83 bps
PID = 358, Lat = -33.96, Lng = 18.41, Alt = 1117.00, Dist = 122.03 km, RSSI = -113.50, SNR = -2.50, CBR = 7177.78 bps
PID = 359, Lat = -33.96, Lng = 18.41, Alt = 1117.00, Dist = 122.03 km, RSSI = -113.50, SNR = -2.50, CBR = 7152.61 bps
PID = 360, Lat = -33.96, Lng = 18.41, Alt = 1117.00, Dist = 122.03 km, RSSI = -113.25, SNR = -2.25, CBR = 7152.61 bps
PID = 361, Lat = -33.96, Lng = 18.41, Alt = 1117.00, Dist = 122.03 km, RSSI = -112.75, SNR = -2.75, CBR = 7177.78 bps
PID = 362, Lat = -33.96, Lng = 18.41, Alt = 1117.00, Dist = 122.03 km, RSSI = -112.25, SNR = -2.25, CBR = 7179.11 bps
PID = 363, Lat = -33.96, Lng = 18.41, Alt = 1117.00, Dist = 122.03 km, RSSI = -112.50, SNR = -2.50, CBR = 7070.41 bps
PID = 364, Lat = -33.96, Lng = 18.41, Alt = 1117.00, Dist = 122.03 km, RSSI = -113.00, SNR = -3.00, CBR = 7070.41 bps
PID = 365, Lat = -33.96, Lng = 18.41, Alt = 1117.00, Dist = 122.03 km, RSSI = -114.25, SNR = -3.25, CBR = 7185.76 bps
PID = 366, Lat = -33.96, Lng = 18.41, Alt = 1117.00, Dist = 122.03 km, RSSI = -112.75, SNR = -2.75, CBR = 7160.54 bps
PID = 367, Lat = -33.96, Lng = 18.41, Alt = 1117.00, Dist = 122.03 km, RSSI = -111.75, SNR = -2.75, CBR = 7159.22 bps
PID = 368, Lat = -33.96, Lng = 18.41, Alt = 1117.00, Dist = 122.03 km, RSSI = -112.75, SNR = -1.75, CBR = 7177.78 bps
PID = 369, Lat = -33.96, Lng = 18.41, Alt = 1117.00, Dist = 122.03 km, RSSI = -113.50, SNR = -2.50, CBR = 7163.19 bps
PID = 370, Lat = -33.96, Lng = 18.41, Alt = 1117.00, Dist = 122.03 km, RSSI = -112.50, SNR = -3.50, CBR = 7053.69 bps
PID = 371, Lat = -33.96, Lng = 18.41, Alt = 1117.00, Dist = 122.03 km, RSSI = -111.75, SNR = -1.75, CBR = 7052.40 bps
PID = 372, Lat = -33.96, Lng = 18.41, Alt = 1117.00, Dist = 122.03 km, RSSI = -112.50, SNR = -1.50, CBR = 7164.51 bps
