�[PqTnc] Setting tracking mode to Not Supported
�PID = 860, Lat = -33.96, Lng = 18.41, Alt = 1108.00, Dist = 100.06 km, RSSI = -121.75, SNR = -8.75, CBR = 3882.60 bps
�PID = 861, Lat = -33.96, Lng = 18.41, Alt = 1108.00, Dist = 100.06 km, RSSI = -123.50, SNR = -10.50, CBR = 4176.27 bps
�PID = 862, Lat = -33.96, Lng = 18.41, Alt = 1108.00, Dist = 100.06 km, RSSI = -122.25, SNR = -10.25, CBR = 4519.06 bps
�PID = 863, Lat = -33.96, Lng = 18.41, Alt = 1108.00, Dist = 100.06 km, RSSI = -122.50, SNR = -9.50, CBR = 4919.41 bps
�PID = 864, Lat = -33.96, Lng = 18.41, Alt = 1108.00, Dist = 100.06 km, RSSI = -121.50, SNR = -9.50, CBR = 6797.61 bps
�PID = 865, Lat = -33.96, Lng = 18.41, Alt = 1108.00, Dist = 100.06 km, RSSI = -122.75, SNR = -9.75, CBR = 7167.16 bps
�PID = 866, Lat = -33.96, Lng = 18.41, Alt = 1108.00, Dist = 100.06 km, RSSI = -122.25, SNR = -9.25, CBR = 7168.49 bps
�PID = 867, Lat = -33.96, Lng = 18.41, Alt = 1108.00, Dist = 100.06 km, RSSI = -121.00, SNR = -8.00, CBR = 7177.78 bps
�PID = 868, Lat = -33.96, Lng = 18.41, Alt = 1108.00, Dist = 100.06 km, RSSI = -120.00, SNR = -8.00, CBR = 7176.45 bps
�PID = 869, Lat = -33.96, Lng = 18.41, Alt = 1108.00, Dist = 100.06 km, RSSI = -120.50, SNR = -8.50, CBR = 7066.54 bps
�PID = 870, Lat = -33.96, Lng = 18.41, Alt = 1108.00, Dist = 100.06 km, RSSI = -121.75, SNR = -8.75, CBR = 7069.12 bps
�PID = 871, Lat = -33.96, Lng = 18.41, Alt = 1108.00, Dist = 100.06 km, RSSI = -122.00, SNR = -8.00, CBR = 7179.11 bps
�PID = 872, Lat = -33.96, Lng = 18.41, Alt = 1108.00, Dist = 100.06 km, RSSI = -121.25, SNR = -8.25, CBR = 7153.93 bps
�PID = 873, Lat = -33.96, Lng = 18.41, Alt = 1108.00, Dist = 100.06 km, RSSI = -120.75, SNR = -7.75, CBR = 7152.61 bps
�PID = 874, Lat = -33.96, Lng = 18.41, Alt = 1108.00, Dist = 100.06 km, RSSI = -119.50, SNR = -7.50, CBR = 7175.12 bps
�PID = 875, Lat = -33.96, Lng = 18.41, Alt = 1108.00, Dist = 100.06 km, RSSI = -121.00, SNR = -8.00, CBR = 7175.12 bps
�PID = 876, Lat = -33.96, Lng = 18.41, Alt = 1108.00, Dist = 100.06 km, RSSI = -121.25, SNR = -8.25, CBR = 7065.26 bps
�PID = 877, Lat = -33.96, Lng = 18.41, Alt = 1108.00, Dist = 100.06 km, RSSI = -121.25, SNR = -8.25, CBR = 7065.26 bps
�PID = 878, Lat = -33.96, Lng = 18.41, Alt = 1108.00, Dist = 100.06 km, RSSI = -120.75, SNR = -7.75, CBR = 7176.45 bps
�PID = 879, Lat = -33.96, Lng = 18.41, Alt = 1108.00, Dist = 100.06 km, RSSI = -120.00, SNR = -8.00, CBR = 7146.02 bps
�PID = 880, Lat = -33.96, Lng = 18.41, Alt = 1108.00, Dist = 100.06 km, RSSI = -120.00, SNR = -8.00, CBR = 7144.70 bps
�PID = 881, Lat = -33.96, Lng = 18.41, Alt = 1108.00, Dist = 100.06 km, RSSI = -121.25, SNR = -8.25, CBR = 7165.83 bps
�PID = 882, Lat = -33.96, Lng = 18.41, Alt = 1108.00, Dist = 100.06 km, RSSI = -121.00, SNR = -8.00, CBR = 7164.51 bps
�PID = 883, Lat = -33.96, Lng = 18.41, Alt = 1108.00, Dist = 100.06 km, RSSI = -122.25, SNR = -8.25, CBR = 7056.25 bps
�PID = 884, Lat = -33.96, Lng = 18.41, Alt = 1108.00, Dist = 100.06 km, RSSI = -120.25, SNR = -7.25, CBR = 7057.54 bps
�PID = 885, Lat = -33.96, Lng = 18.41, Alt = 1108.00, Dist = 100.06 km, RSSI = -119.75, SNR = -7.75, CBR = 7165.83 bps
�PID = 886, Lat = -33.96, Lng = 18.41, Alt = 1108.00, Dist = 100.06 km, RSSI = -120.25, SNR = -7.25, CBR = 7157.89 bps
�PID = 887, Lat = -33.96, Lng = 18.41, Alt = 1108.00, Dist = 100.06 km, RSSI = -121.00, SNR = -8.00, CBR = 7161.86 bps
�PID = 888, Lat = -33.96, Lng = 18.41, Alt = 1108.00, Dist = 100.06 km, RSSI = -120.75, SNR = -7.75, CBR = 7191.09 bps
