lat,lng,alt,snr
-34.036,18.6343,2733.6,34.9
-34.0361,18.6344,2737.7,34.9
-34.0362,18.6345,2741,33.6
-34.0363,18.6347,2744.8,32.9
-34.0364,18.6348,2749,33.6
-34.0364,18.6349,2754.4,34.4
-34.0365,18.6351,2760.2,35.1
-34.0366,18.6352,2765,35.1
-34.0367,18.6353,2769.9,32.7
-34.0368,18.6355,2774.8,32.5
-34.0368,18.6357,2779,32.9
-34.0369,18.6358,2783.6,32.9
-34.037,18.6359,2788.4,32.2
-34.037,18.636,2793.3,32.2
-34.0371,18.6362,2797.8,32.8
-34.0372,18.6363,2802.3,34.4
-34.0373,18.6364,2807.4,34.6
-34.0373,18.6366,2813.1,34.6
-34.0374,18.6367,2818.3,33.2
-34.0375,18.6368,2822.7,33.1
-34.0375,18.6369,2827.5,32.5
-34.0376,18.6371,2831.3,32.2
-34.0377,18.6373,2834.5,33.2
-34.0378,18.6374,2839.5,33.2
-34.0378,18.6376,2844.1,33
-34.0379,18.6377,2848.4,32.8
-34.0379,18.6378,2852.2,32.4
-34.038,18.638,2855.7,32.7
-34.0381,18.6381,2859.1,33.8
-34.0382,18.6383,2863.2,33.8
-34.0382,18.6384,2866.6,33
-34.0383,18.6386,2870.8,33.1
-34.0384,18.6387,2874.7,33.1
-34.0384,18.6389,2878.7,33
-34.0385,18.639,2881.8,34.5
-34.0386,18.6392,2885.7,34.5
-34.0387,18.6393,2889,34.4
-34.0387,18.6395,2892.8,35.7
-34.0388,18.6396,2896,35.7
-34.0389,18.6398,2899.5,34
-34.0389,18.6399,2903.6,34
-34.039,18.6401,2907.1,34.4
-34.0391,18.6403,2911,34.6
-34.0392,18.6404,2914.9,34.6
-34.0392,18.6406,2919.5,34.2
-34.0393,18.6407,2924.3,34.2
-34.0394,18.6408,2929.4,32.6
-34.0394,18.641,2933.9,33.1
-34.0395,18.6411,2938.4,33.1
-34.0396,18.6413,2943.7,32.2
-34.0396,18.6415,2948.5,32.2
-34.0397,18.6416,2953.1,32.2
-34.0398,18.6418,2957.2,31
-34.0399,18.6419,2960.9,32.4
-34.04,18.642,2965,33.2
-34.04,18.6422,2969.2,33.2
-34.0401,18.6423,2973.2,33.2
-34.0401,18.6425,2977.1,33.2
-34.0402,18.6426,2980.8,31.9
-34.0403,18.6428,2984.4,33.4
-34.0404,18.6429,2988.6,33.4
-34.0404,18.6431,2991.9,34.2
-34.0405,18.6432,2995.1,33.1
-34.0406,18.6433,2997.8,33.1
-34.0406,18.6435,3001,33.9
-34.0407,18.6436,3004.7,34.2
-34.0408,18.6437,3008.9,34.7
-34.0409,18.6439,3012.5,34.7
-34.041,18.644,3015.9,34.2
-34.0411,18.6441,3019.5,34.2
-34.0411,18.6443,3022.8,34.2
-34.0412,18.6444,3025.9,33.8
-34.0413,18.6445,3029.1,33.8
-34.0414,18.6446,3032.2,34.1
-34.0415,18.6448,3035.4,34.1
-34.0416,18.6449,3039.2,34.1
-34.0417,18.645,3042.8,33.5
-34.0418,18.6451,3046.1,33.5
-34.0418,18.6453,3049.8,33.5
-34.0419,18.6455,3053.7,33.2
-34.042,18.6456,3058.2,32.1
-34.0421,18.6458,3061.8,32.1
-34.0422,18.6459,3065.4,30.6
-34.0423,18.646,3069.5,31.8
-34.0424,18.6462,3073.2,31.8
-34.0425,18.6463,3077.2,31.8
-34.0426,18.6465,3080.7,32.4
-34.0426,18.6466,3085.6,32.4
-34.0427,18.6467,3090.3,30.5
-34.0428,18.6469,3094.9,32.8
-34.0429,18.647,3100.1,32.8
-34.043,18.6472,3105.9,32.1
-34.0431,18.6474,3110.9,30.1
-34.0432,18.6475,3115.8,30.1
-34.0433,18.6476,3120,31.4
-34.0434,18.6477,3124.4,32.3
-34.0435,18.6479,3128.5,32.3
-34.0437,18.648,3132.4,32.7
-34.0438,18.6481,3136.2,32.7
-34.0439,18.6483,3140,31.6
-34.044,18.6484,3145,31.3
-34.0441,18.6486,3150.6,30.6
-34.0442,18.6487,3155.5,30.8
-34.0444,18.6489,3159.1,32.5
-34.0445,18.649,3162.7,32.5
-34.0446,18.6492,3165.9,32.1
-34.0447,18.6494,3169,32.7
-34.0448,18.6495,3172.1,32.7
-34.0449,18.6497,3175.1,31.5
-34.045,18.6499,3180.2,30.7
-34.0451,18.65,3184.6,30.7
-34.0452,18.6502,3188.3,30.1
-34.0454,18.6503,3191.6,30.4
-34.0455,18.6504,3195.2,30.4
-34.0456,18.6505,3198.5,30.4
-34.0457,18.6506,3201.5,29.5
-34.0459,18.6508,3205,30.2
-34.046,18.6509,3207.8,30.2
-34.0461,18.6511,3210.8,29.7
-34.0463,18.6512,3213.6,30.9
-34.0464,18.6513,3216.4,31.3
-34.0465,18.6515,3220,31.3
-34.0467,18.6516,3223.8,30.7
-34.0468,18.6517,3227.1,31.1
-34.0469,18.6519,3230.8,31.1
-34.047,18.652,3234.1,30.8
-34.0471,18.6521,3237.4,29.3
-34.0472,18.6523,3240.9,30.5
-34.0473,18.6524,3244.3,30.5
-34.0475,18.6525,3247.2,30
-34.0476,18.6527,3250.5,30
